Airline,ARPT,Count of YEAR,Average of ARR_DELAY_NEW,Average of ARR_DELAY,Average of DEP_DELAY_NEW,Average of DEP_DELAY
OO,SIT,101,14.75247525,-2.881188119,16.6039604,13.32673267
OO,KTN,85,17.52941176,6.682352941,18.83529412,15.72941176
OO,MCI,82,6.012820513,-4.192307692,3.475609756,1.975609756
OO,MSP,67,14.25757576,0.287878788,8.28358209,0.985074627
OO,TUS,63,6.290322581,-7.096774194,1.952380952,-5.968253968
OO,DEN,60,24.1,19.35,16.05,13.46666667
OO,RNO,51,8.68627451,-2.294117647,5.490196078,0.176470588
OO,ORD,46,24.67391304,21.36956522,20.19565217,16.97826087
UA,SFO,42163,15.6113028,7.148030934,16.23855039,13.43362664
UA,LAX,18878,12.13328726,0.168057845,12.05334252,8.196789914
UA,EWR,11485,25.52866019,17.39380415,24.72555507,22.56325642
UA,ORD,10367,20.17964824,12.91293003,19.72373879,17.65698852
UA,SEA,9815,15.43694385,6.111997545,14.28323994,10.19582272
UA,IAD,6038,14.14309429,3.939077025,12.98873799,9.966213978
UA,LAS,4729,15.42098583,5.195049714,13.82279552,9.063015437
UA,PDX,4324,16.03222068,6.46824293,15.06891767,10.62650324
UA,SAN,3756,20.06011221,10.49666043,19.28168264,15.14270501
UA,HNL,3282,15.13648855,5.851908397,15.28580134,11.44393662
UA,BOS,2881,19.58397213,9.139721254,19.74557445,16.21971538
UA,OGG,2441,18.2810833,7.522773902,19.30438345,14.4916018
UA,SNA,1658,20.38781665,11.22074789,19.83293124,15.08685163
UA,DEN,1636,15.69565217,9.683404776,14.8202934,12.68948655
UA,IAH,1603,13.19336671,5.041927409,12.49656893,9.632563943
UA,PHX,1245,23.5124498,13.7502008,23.70200803,19.96144578
UA,AUS,1094,26.04940531,16.91491308,25.61517367,22.22120658
UA,KOA,1014,13.4106614,2.982230997,13.97928994,8.699211045
UA,MCO,982,13.29652352,3.646216769,12.1293279,8.82586558
UA,BWI,901,14.16926503,4.35077951,13.37069922,9.538290788
UA,BNA,658,28.94198473,20.96183206,31.13069909,28.82522796
UA,PHL,653,23.36979969,13.33281972,23.3093415,20.42266462
UA,RDU,633,17.72626582,9.738924051,16.65876777,14.13902054
UA,PSP,546,24.0018315,13.01098901,24.67216117,19.56410256
UA,MSY,439,23.94077449,17.17539863,23.54441913,20.63781321
UA,FLL,382,10.79002625,-1.661417323,10.10994764,5.081151832
UA,DCA,363,24.58611111,15.40277778,23.39118457,21.04683196
UA,ANC,318,11.56369427,0.828025478,13.11320755,9.305031447
UA,SJC,4,37.75,31,38.5,31.25
WN,SJC,12715,8.182125984,1.068031496,9.289815179,7.173102635
WN,SAN,12106,10.15025221,2.955346068,11.18263671,9.154221047
WN,LAX,8683,12.47538905,4.357925072,14.85108833,13.28734308
WN,LAS,8602,11.87124913,5.150965341,13.8344571,12.65601023
WN,SEA,8065,11.29212227,4.39612326,12.67774334,11.21277123
WN,SFO,6893,12.60554991,2.569664391,14.57173945,12.5955317
WN,PDX,6837,7.305010255,-0.076472312,8.508410121,6.533567354
WN,SMF,6090,7.604372124,1.749178172,8.086206897,6.003940887
WN,PHX,3171,17.56691919,10.94160354,20.73131504,19.83759067
WN,OAK,2467,11.17119675,2.747261663,13.25374949,11.98743413
WN,BWI,1618,14.0086741,5.620817844,15.09147095,14.39060569
WN,AUS,1539,11.86280884,4.662548765,13.0331384,11.50357375
WN,DEN,983,13.25204082,6.606122449,15.84028484,14.96948118
WN,HNL,558,10.64452424,2.612208259,11.32795699,9.937275986
WN,DAL,557,9.692998205,1.016157989,13.01077199,12.29802513
WN,OGG,496,9.408906883,-0.17611336,9.830645161,7.987903226
WN,STL,278,9.31294964,1.057553957,12.97482014,12.48920863
WN,BUR,258,5.736434109,-3.143410853,6.546511628,4.352713178
WN,ONT,251,3.804780876,-4.6812749,4.792828685,3.151394422
WN,MCO,140,8.992805755,4.503597122,9.357142857,8.707142857
WN,EWR,122,12.81512605,5.932773109,9.327868852,7.401639344
WN,MCI,119,7.974789916,-1.445378151,9.504201681,7.756302521
WN,BNA,25,3.08,-4.68,3.88,1.48
WN,MKE,8,20.5,15.25,20.5,18.125
YX,DEN,9,16.88888889,12.77777778,15.88888889,13.33333333
YX,SEA,9,8.666666667,-0.222222222,8.888888889,3.777777778
